data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-03-04,2025-03-04,Carnaval,Data Comemorativa,Todos,Baixo,Tuesday,-151,Sim
2025-03-04,2025-03-04,Dia Mundial da Obesidade,Data Comemorativa,Todos,Baixo,Tuesday,-151,Sim
2025-03-04,2025-03-04,Dia Mundial da Engenharia para o Desenvolvimento Sustentável,Data Comemorativa,Todos,Baixo,Tuesday,-151,Sim
2025-03-04,2025-03-04,Dia Internacional da Conscientização sobre o HPV,Data Comemorativa,Todos,Baixo,Tuesday,-151,Sim
2025-03-04,2025-03-04,Dia dos Soldadinhos de Brinquedo,Data Comemorativa,Todos,Baixo,Tuesday,-151,Sim
2025-03-05,2025-03-05,Quarta-feira de Cinzas (Ponto Facultativo até as 14h),Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-05,2025-03-05,Quaresma 2026 (de 18 de fevereiro a 2 de abril),Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-05,2025-03-05,Dia do Filatelista Brasileiro,Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-05,2025-03-05,Dia Nacional da Música Clássica,Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-05,2025-03-05,Dia da Integração Cooperativista,Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-05,2025-03-05,Dia Internacional do Desarmamento e Conscientização sobre a Não-Proliferação,Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-05,2025-03-05,Dia Mundial da Eficiência Energética,Data Comemorativa,Todos,Baixo,Wednesday,-150,Não
2025-03-07,2025-03-07,Dia do Paleontólogo,Data Comemorativa,Todos,Baixo,Friday,-148,Não
2025-03-07,2025-03-07,Dia do Fuzileiro Naval,Data Comemorativa,Todos,Baixo,Friday,-148,Não
2025-03-07,2025-03-07,Dia Mundial da Oração,Data Comemorativa,Todos,Baixo,Friday,-148,Não
2025-03-07,2025-03-07,Dia Nacional da Advocacia Pública,Data Comemorativa,Todos,Baixo,Friday,-148,Não
2025-03-08,2025-03-08,Dia Internacional da Mulher,Data Comemorativa,Todos,Baixo,Saturday,-147,Não
2025-03-09,2025-03-09,Dia Mundial do DJ,Data Comemorativa,Todos,Baixo,Sunday,-146,Não
2025-03-10,2025-03-10,Dia do Sogro,Data Comemorativa,Todos,Baixo,Monday,-145,Não
2025-03-10,2025-03-10,Dia do Telefone,Data Comemorativa,Todos,Baixo,Monday,-145,Não
2025-03-10,2025-03-10,Dia do Conservador,Data Comemorativa,Todos,Baixo,Monday,-145,Não
2025-03-10,2025-03-10,Dia da Sociedade dos Amigos do Bairro,Data Comemorativa,Todos,Baixo,Monday,-145,Não
2025-03-10,2025-03-10,Dia Nacional de Combate ao Sedentarismo,Data Comemorativa,Todos,Baixo,Monday,-145,Não
2025-03-10,2025-03-10,Dia Internacional das Juízas,Data Comemorativa,Todos,Baixo,Monday,-145,Não
